,acousticness,album_names,artist_name,audio_mode,audio_valence,danceability,energy,instrumentalness,key,liveness,loudness,song_duration_ms,song_name,song_popularity,speechiness,tempo,time_signature,yt_max_views
8665,0.0702,Come Together,Svrcina,1.0,0.387,0.69,0.461,2.54e-06,9.0,0.0947,-6.6579999999999995,166232.0,Come Together,54.0,0.0667,96.99600000000001,4.0,919000.0
8666,0.0628,She Waits,The Gray Havens,1.0,0.38,0.5539999999999999,0.75,2.15e-05,11.0,0.297,-7.972,201094.0,See You Again,50.0,0.0434,153.985,4.0,7000.0
8667,0.132,A Million Lights,Michael W. Smith,1.0,0.125,0.502,0.64,0.0033799999999999998,7.0,0.125,-5.9639999999999995,216333.0,A Million Lights,50.0,0.0257,110.03399999999999,4.0,755000.0
8668,0.000299,One In A Million,Apollo LTD,0.0,0.846,0.613,0.813,7.509999999999998e-05,11.0,0.0914,-4.954,214989.0,One In A Million,53.0,0.0331,130.009,4.0,141000.0
8669,0.0617,Long Distance Runner / Used To Be / Way Way Back / Mine,Matt Nathanson,1.0,0.44,0.6459999999999999,0.6579999999999999,0.0,7.0,0.0692,-4.678,190866.0,Used To Be,52.0,0.052000000000000005,92.001,4.0,1000000.0
8670,0.348,Melody,Basic Tape,1.0,0.596,0.631,0.816,2.23e-06,0.0,0.163,-3.301,184009.0,Melody,55.0,0.0356,123.01799999999999,4.0,331000.0
8671,0.363,Need You Like That,EZI,1.0,0.11599999999999999,0.467,0.565,1.12e-06,11.0,0.0725,-6.276,209441.0,Need You Like That,56.0,0.0457,147.512,4.0,32000.0
8672,0.526,Wish You Well,TWENTYSOMETHING,1.0,0.532,0.8909999999999999,0.46,0.0,7.0,0.0592,-7.2120000000000015,198709.0,Wish You Well,53.0,0.177,92.961,4.0,23000000.0
8673,0.603,Back To Bedlam (U.S. Amended),James Blunt,0.0,0.449,0.679,0.54,1.7e-05,0.0,0.0905,-7.4570000000000025,213053.0,You're Beautiful,48.0,0.026000000000000002,81.971,4.0,541000000.0
8674,0.51,Follow,Nick Howard,1.0,0.6990000000000001,0.659,0.732,6.07e-05,9.0,0.111,-8.751,185973.0,Follow,40.0,0.0705,99.959,4.0,106000.0
8675,0.466,The Click (Deluxe Edition),AJR,1.0,0.484,0.653,0.425,0.0,7.0,0.273,-6.252999999999999,192173.0,Role Models,59.0,0.0264,101.795,3.0,3800000.0
